City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,champerico,14.3,-91.9167,86.9,70,2,11.81,GT,1713816205
211,kirs,59.3388,52.2447,44.87,69,100,10.47,RU,1713816205
212,trinity beach,-16.7888,145.6968,73.71,83,99,9.62,AU,1713816205
213,prince albert,53.2001,-105.7677,50.16,65,100,12.82,CA,1713816205
214,lamu,-2.2717,40.902,81.45,86,28,13.62,KE,1713816205
215,kapa'a,22.0752,-159.319,73.44,63,47,14.58,US,1713816206
216,ola,59.5833,151.2833,23.13,84,72,4.21,RU,1713816206
217,afif,23.9065,42.9172,75.09,28,3,10.71,SA,1713816206
218,gebeit,21.0667,36.3167,73.54,25,0,6.38,SD,1713816206
219,lower hutt,-41.2167,174.9167,48.56,82,24,1.63,NZ,1713816206
220,tsiombe,-25.3,45.4833,66.9,87,14,4.29,MG,1713816207
221,deshnoke,27.8,73.35,85.44,19,51,5.73,IN,1713816207
222,saldanha,-33.0117,17.9442,58.96,93,100,2.64,ZA,1713816207
223,navojoa,27.1,-109.4333,97.32,15,0,14.25,MX,1713816207
224,mlyniv,50.509,25.6168,40.05,94,100,7.87,UA,1713816207
225,babayevo,59.3936,35.9371,46.71,86,14,8.28,RU,1713816208
226,mariakani,-3.8633,39.4736,76.39,90,100,11.54,KE,1713816208
227,pontianak,-0.0333,109.3333,78.19,92,99,0.83,ID,1713816208
228,lebu,-37.6167,-73.65,57.22,67,64,6.33,CL,1713816208
229,jiuquan,39.7432,98.5174,47.97,24,0,5.48,CN,1713816208
230,yung shue wan,22.2333,114.1167,78.57,91,13,8.46,HK,1713816209
231,fort mcmurray,56.7268,-111.381,61.32,28,100,6.87,CA,1713816209
232,st. john's,47.5649,-52.7093,46.31,59,98,12.35,CA,1713816209
233,sidney,-33.8679,151.2073,59.04,82,2,7.27,AU,1713816105
234,mejit,10.2753,170.8646,80.82,86,94,21.09,MH,1713816209
235,calvi,42.5,8.8333,45.64,85,100,2.98,FR,1713816210
236,road town,18.4167,-64.6167,79.38,81,16,13.89,VG,1713816210
237,sur,22.5667,59.5289,82.31,67,0,1.77,OM,1713816210
238,takab,36.4009,47.1133,50.5,74,100,3.38,IR,1713816210
239,petropavlovsk-kamchatsky,53.0452,158.6483,33.49,78,9,0.87,RU,1713815984
240,chavusy,53.8075,30.9712,41.5,77,100,13.6,BY,1713816211
241,la'ie,21.6477,-157.9253,73.87,63,3,15.55,US,1713816211
242,taroa,8.7058,171.2275,81.61,86,73,22.17,MH,1713816211
243,salinopolis,-0.6136,-47.3561,82.26,81,79,7.0,BR,1713816211
244,cutral-co,-38.9469,-69.2089,57.29,33,46,28.9,AR,1713816211
245,ryotsu-minato,38.0833,138.4333,51.55,85,88,0.36,JP,1713816212
246,loma de cabrera,19.4333,-71.6,83.19,57,87,11.45,DO,1713816212
247,tebingtinggi,3.3285,99.1625,76.53,98,83,2.39,ID,1713816212
248,ad dilam,23.9915,47.1627,83.52,26,0,16.33,SA,1713816212
249,ribeira brava,32.65,-17.0667,65.28,81,100,3.76,PT,1713816212
250,bandarbeyla,9.4942,50.8122,83.01,79,98,7.09,SO,1713816212
251,tolanaro,-25.0319,46.9987,69.8,81,0,2.1,MG,1713816213
252,cuenca,-2.8833,-78.9833,61.61,77,95,2.06,EC,1713816213
253,yaren,-0.5472,166.916,83.59,77,98,9.46,NR,1713816213
254,gadzhiyevo,69.2551,33.3362,18.88,79,100,17.13,RU,1713816213
255,hailar,49.2,119.7,39.78,62,98,18.01,CN,1713816213
256,yuzhno-kurilsk,44.0306,145.8556,35.49,98,100,6.11,RU,1713816214
257,coquimbo,-29.9533,-71.3436,63.03,80,0,8.7,CL,1713816214
258,aleg,17.0481,-13.9209,90.97,13,4,10.65,MR,1713816214
259,ebaye,8.7748,167.7392,82.0,84,14,17.45,MH,1713816214
260,south portland,43.6415,-70.2409,49.96,27,0,6.31,US,1713816214
261,fisterra,42.9049,-9.2629,57.92,49,2,22.1,ES,1713816215
262,san diego country estates,33.0067,-116.7836,71.53,51,72,8.55,US,1713816215
263,farafangana,-22.8167,47.8333,75.49,89,58,6.17,MG,1713816215
264,lukolela,-1.0605,17.1821,78.89,74,98,2.26,CD,1713816215
265,carnarvon,-24.8667,113.6333,74.55,38,100,17.81,AU,1713816215
266,usogorsk,63.4106,48.6872,24.46,82,100,12.68,RU,1713816215
267,port clinton,41.512,-82.9377,56.46,46,7,13.33,US,1713816216
268,santa terezinha,-29.9002,-50.0904,71.49,72,100,9.46,BR,1713816216
269,saint-joseph,-21.3667,55.6167,76.84,85,20,3.36,RE,1713816216
270,singaparna,-7.3515,108.111,73.74,99,99,2.75,ID,1713816216
271,nemuro,43.3236,145.575,36.79,94,100,10.92,JP,1713816216
272,talnakh,69.4865,88.3972,-8.43,88,87,1.36,RU,1713816217
273,hadibu,12.65,54.0333,82.89,80,49,5.3,YE,1713816217
274,faya-largeau,17.9257,19.1043,94.75,11,8,2.86,TD,1713816217
275,griffith,41.5284,-87.4237,63.73,27,94,13.42,US,1713816130
276,ciudad bolivar,8.1222,-63.5497,100.02,27,39,12.28,VE,1713816217
277,port mathurin,-19.6833,63.4167,80.51,83,100,16.75,MU,1713816217
278,westport,41.1415,-73.3579,55.35,38,14,2.66,US,1713816218
279,hovd,48.0056,91.6419,48.2,35,18,6.73,MN,1713816218
280,utrik,11.2278,169.8474,80.38,86,98,19.84,MH,1713816218
281,hakui,36.8833,136.7833,52.84,91,100,6.64,JP,1713816218
282,siquijor,9.2142,123.515,81.95,84,88,12.57,PH,1713816218
283,queenstown,-31.8976,26.8753,59.32,88,65,4.41,ZA,1713816218
284,chos malal,-37.3781,-70.2709,57.92,35,4,22.84,AR,1713816219
285,ndele,8.4109,20.6473,75.36,73,100,1.39,CF,1713816219
286,villamontes,-21.25,-63.5,84.58,53,99,5.75,BO,1713816219
287,olbia,40.9214,9.4856,44.28,67,0,8.61,IT,1713816219
288,fale old settlement,-9.3852,-171.2468,84.2,76,1,6.93,TK,1713816220
289,iwanai,42.9744,140.5089,41.72,91,100,4.65,JP,1713816220
290,afaahiti,-17.75,-149.2833,79.41,81,96,14.09,PF,1713816220
291,trail,49.0998,-117.7022,60.12,24,69,0.83,CA,1713816220
292,villa regina,-39.1,-67.0667,57.79,65,92,14.52,AR,1713816220
293,issoudun,47.0,1.8333,38.39,79,77,6.22,FR,1713816220
294,srandakan,-7.9386,110.2506,78.51,90,100,8.12,ID,1713816221
295,olutanga,7.3106,122.8464,83.82,75,80,4.25,PH,1713816221
296,boguchany,58.3814,97.4531,31.71,98,100,6.62,RU,1713816221
297,kosh-agach,50.0,88.6667,39.52,80,45,6.13,RU,1713816221
298,lorengau,-2.0226,147.2712,81.28,79,44,4.56,PG,1713816221
299,chonchi,-42.6128,-73.8092,50.67,76,100,2.15,CL,1713816222
300,samarinda,-0.5,117.15,77.4,92,100,0.25,ID,1713816018
301,kulhudhuffushi,6.6221,73.07,85.44,74,100,5.03,MV,1713816222
302,sarh,9.1429,18.3923,84.61,50,93,2.46,TD,1713816222
303,leninskoye,41.7589,69.3864,59.83,62,3,3.83,KZ,1713816222
304,georgiyevka,43.0369,74.7114,59.86,74,100,5.21,KZ,1713816222
305,zhuanghe,39.7008,122.9911,52.16,82,100,7.11,CN,1713816223
306,vernon,50.2581,-119.2691,56.12,32,71,4.99,CA,1713816223
307,urcos,-13.6861,-71.6228,65.03,54,99,7.85,PE,1713816223
